Date,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TATAMOTORS.NS,TCS.NS
2018-01-01,432.68902587890625,298.0550537109375,415.2442321777344,401.86480712890625,416.9429626464844,1103.4735107421875
2018-01-02,436.8537902832031,297.4787292480469,413.6974792480469,402.4832458496094,431.5303039550781,1097.4666748046875
2018-01-03,432.2574157714844,302.5695495605469,410.3225402832031,404.0955505371094,426.22576904296875,1100.5743408203125
2018-01-04,433.9490051269531,302.28143310546875,407.9521789550781,406.5250549316406,422.3456726074219,1108.269775390625
2018-01-05,434.812255859375,300.55242919921875,406.586181640625,407.82818603515625,423.96649169921875,1121.6585693359375
2018-01-08,434.1123046875,301.75311279296875,416.2486877441406,410.16937255859375,425.8819580078125,1132.169677734375
2018-01-09,434.8355712890625,300.2642822265625,418.3779602050781,415.6468200683594,429.81121826171875,1129.9173583984375
2018-01-10,434.9521789550781,299.6879577636719,422.75726318359375,416.2652282714844,425.6363525390625,1170.6258544921875
2018-01-11,436.9004821777344,297.28662109375,432.2187805175781,414.2332763671875,427.0607604980469,1163.9102783203125
2018-01-12,435.2088623046875,305.1630554199219,433.2835388183594,419.2027282714844,429.36920166015625,1158.0091552734375
2018-01-15,442.780029296875,316.3052673339844,434.36822509765625,419.2689514160156,424.7032165527344,1145.3917236328125
2018-01-16,443.3399963378906,320.9158630371094,451.1217956542969,407.6956787109375,414.4380187988281,1189.082763671875
2018-01-17,441.0885009765625,329.7048034667969,462.87347412109375,408.3803405761719,415.469482421875,1204.973876953125
2018-01-18,451.3078308105469,332.4903564453125,463.1144714355469,406.2600402832031,411.5401916503906,1217.1739501953125
2018-01-19,455.4842529296875,339.6463928222656,459.39813232421875,411.3841247558594,410.6560974121094,1234.3165283203125
2018-01-22,458.08575439453125,337.62921142578125,462.0296630859375,429.1417236328125,414.4380187988281,1302.9249267578125
2018-01-23,455.27423095703125,348.00299072265625,472.9175720214844,434.3320007324219,410.60699462890625,1296.9041748046875
2018-01-24,456.7557678222656,338.8299255371094,476.4129333496094,426.86676025390625,396.4617004394531,1327.2574462890625
2018-01-25,460.792236328125,346.56219482421875,472.23455810546875,426.66802978515625,393.22003173828125,1304.8687744140625
2018-01-29,466.5552062988281,343.5365295410156,475.24786376953125,426.0495910644531,392.1886291503906,1337.3961181640625
2018-01-30,465.5869140625,339.3102111816406,470.3262939453125,419.8211669921875,388.8487548828125,1318.1640625
2018-01-31,467.96673583984375,339.02203369140625,462.13018798828125,424.6360778808594,392.4342346191406,1301.2314453125
2018-02-01,464.5719909667969,332.53839111328125,459.8601989746094,416.9278259277344,386.68768310546875,1312.2064208984375
2018-02-02,454.5043029785156,321.87640380859375,459.31787109375,399.47943115234375,376.9627685546875,1318.4984130859375
2018-02-05,446.5364685058594,316.6894836425781,457.2889404296875,398.50762939453125,388.79962158203125,1297.4061279296875
2018-02-06,442.55841064453125,317.6499938964844,445.0551452636719,394.0682678222656,368.8096008300781,1253.1097412109375
2018-02-07,436.9587707519531,319.4270324707031,445.5775146484375,395.0842590332031,371.11798095703125,1235.4666748046875
2018-02-08,438.8602600097656,320.67572021484375,455.70196533203125,399.5677795410156,368.2201843261719,1243.4730224609375
2018-02-09,431.5224304199219,313.8558654785156,445.61761474609375,396.6081848144531,362.2280578613281,1242.427490234375
2018-02-12,437.8570251464844,313.3756103515625,443.0664367675781,404.40472412109375,365.22412109375,1240.588134765625
2018-02-14,439.3735656738281,306.36370849609375,441.0374755859375,412.4222106933594,370.1848449707031,1217.3846435546875
2018-02-15,439.08197021484375,315.6808776855469,447.7469482421875,413.3056335449219,369.15338134765625,1223.2586669921875
2018-02-16,438.31201171875,308.3808288574219,453.2110900878906,406.966796875,364.19268798828125,1226.2686767578125
2018-02-19,438.2186584472656,307.1321105957031,454.697509765625,409.48468017578125,362.2280578613281,1222.31787109375
2018-02-20,434.7188415527344,304.73077392578125,456.7867126464844,406.87847900390625,362.768310546875,1231.1600341796875
2018-02-21,433.36566162109375,306.6038818359375,460.98516845703125,410.5227355957031,358.004150390625,1271.944580078125
2018-02-22,432.3857116699219,305.78741455078125,466.3488464355469,408.3140869140625,352.15936279296875,1275.2474365234375
2018-02-23,438.7669677734375,310.0137634277344,464.2996520996094,412.6872253417969,353.8293151855469,1285.950439453125
2018-02-26,445.9998474121094,314.14404296875,457.4495849609375,414.6529541015625,365.46966552734375,1267.5128173828125
2018-02-27,443.8999938964844,309.4374084472656,462.1100158691406,419.8653564453125,365.9608154296875,1271.965576171875
2018-02-28,439.61859130859375,300.88861083984375,471.10968017578125,421.65435791015625,363.35772705078125,1268.913330078125
2018-03-01,437.32037353515625,292.91619873046875,466.3488464355469,418.93768310546875,364.19268798828125,1270.021484375
2018-03-05,436.2937316894531,291.3793029785156,464.40020751953125,408.2036437988281,345.8234558105469,1298.5137939453125
2018-03-06,430.7641296386719,283.4068603515625,462.5721435546875,402.35064697265625,340.3716125488281,1272.1533203125
2018-03-07,427.5793762207031,275.3863830566406,459.6593933105469,393.0301818847656,341.6485900878906,1265.73583984375
2018-03-08,432.3040466308594,285.2318420410156,464.70147705078125,402.61572265625,339.04547119140625,1255.910888671875
2018-03-09,431.8840637207031,281.1495666503906,467.4134521484375,403.3446350097656,335.46002197265625,1268.5166015625
2018-03-12,435.6638488769531,288.7858581542969,476.3927917480469,410.9422912597656,346.3637390136719,1276.062744140625
2018-03-13,434.03057861328125,292.33984375,475.6094665527344,411.6270446777344,346.90399169921875,1206.93212890625
2018-03-14,435.0221862792969,293.9727783203125,474.4040832519531,410.39019775390625,347.7880554199219,1206.9739990234375
2018-03-15,438.8253173828125,289.5542907714844,475.0870666503906,402.77032470703125,346.8548583984375,1199.7825927734375
2018-03-16,432.3390197753906,286.33648681640625,470.8283996582031,397.5799865722656,333.7409973144531,1181.386962890625
2018-03-19,430.9974670410156,282.926513671875,460.7239685058594,395.5701599121094,329.76263427734375,1183.6029052734375
2018-03-20,429.18927001953125,280.4772033691406,467.87554931640625,393.0522766113281,332.8077697753906,1197.755126953125
2018-03-21,433.7156066894531,277.7877197265625,469.0606994628906,396.18853759765625,327.94537353515625,1194.3687744140625
2018-03-22,435.780517578125,272.0724792480469,466.5697326660156,401.15802001953125,332.2184143066406,1183.7496337890625
2018-03-23,429.66754150390625,264.6763000488281,469.100830078125,394.8633728027344,324.9983825683594,1178.230712890625
2018-03-26,441.7767639160156,270.5356140136719,464.1390380859375,398.0438537597656,326.47186279296875,1177.7493896484375
2018-03-27,441.57843017578125,272.69677734375,463.6368408203125,397.4695739746094,325.2930908203125,1190.5849609375
2018-03-28,440.0618896484375,267.3658447265625,454.7176513671875,389.9159240722656,321.06915283203125,1191.19140625
2018-04-02,450.58453369140625,251.51698303222656,456.8670654296875,394.4437255859375,333.1515808105469,1216.4852294921875
2018-04-03,447.0148010253906,259.3933410644531,458.19281005859375,397.359130859375,337.03173828125,1217.1544189453125
2018-04-04,439.39691162109375,258.0486145019531,451.6642150878906,395.30511474609375,349.3106384277344,1217.008056640625
2018-04-05,445.3815612792969,267.6540222167969,461.04547119140625,401.1801452636719,355.7939147949219,1236.6785888671875
2018-04-06,448.7646484375,269.5751037597656,452.7891540527344,402.41693115234375,357.6603088378906,1233.4803466796875
2018-04-09,452.4161376953125,269.7672119140625,446.4613037109375,404.6255798339844,351.9628601074219,1222.44287109375
2018-04-10,448.169677734375,277.4034729003906,447.3251647949219,405.08941650390625,347.0022277832031,1228.1710205078125
2018-04-11,447.70306396484375,273.3211364746094,451.684326171875,411.18536376953125,349.507080078125,1260.1749267578125
2018-04-12,450.0246276855469,275.43438720703125,467.0920104980469,410.235595703125,352.06109619140625,1312.4781494140625
2018-04-13,449.1379699707031,276.8751525878906,470.64752197265625,414.71917724609375,350.7349853515625,1318.352294921875
2018-04-16,453.1277160644531,276.2508239746094,455.2799987792969,413.9240417480469,333.1515808105469,1332.7132568359375
2018-04-17,454.6209716796875,280.237060546875,452.06591796875,417.10455322265625,330.4993591308594,1323.9124755859375
2018-04-18,450.91119384765625,278.6041259765625,452.3672790527344,414.3437194824219,328.8785095214844,1320.7772216796875
2018-04-19,452.4044494628906,278.171875,455.13946533203125,416.2431335449219,328.3382568359375,1334.176513671875
2018-04-20,456.34747314453125,271.01593017578125,473.46002197265625,409.8821716308594,330.05731201171875,1422.518310546875
2018-04-23,451.6461181640625,268.37445068359375,477.1761169433594,413.46026611328125,328.14178466796875,1425.110595703125
2018-04-24,451.47113037109375,272.888916015625,463.83770751953125,428.50115966796875,325.6860046386719,1415.4942626953125
2018-04-25,448.1463623046875,267.8941345214844,466.18798828125,428.6999816894531,322.7882080078125,1450.864990234375
2018-04-26,450.3629150390625,267.8461608886719,472.6564636230469,430.84234619140625,324.40899658203125,1479.7125244140625
2018-04-27,448.7646484375,276.5389709472656,476.17181396484375,440.09661865234375,330.9413757324219,1443.21337890625
2018-04-30,453.6410827636719,272.9849853515625,481.9171447753906,425.5195007324219,334.3794860839844,1476.723388671875
2018-05-02,459.5205993652344,265.9730529785156,480.9328308105469,429.67181396484375,330.1064147949219,1463.198486328125
2018-05-03,459.14727783203125,270.7757263183594,475.10723876953125,424.7685546875,327.60150146484375,1455.71435546875
2018-05-04,463.95367431640625,271.68829345703125,471.3105163574219,421.38934326171875,328.4856262207031,1455.254150390625
2018-05-07,461.3638610839844,278.364013671875,475.28790283203125,428.9208068847656,329.22235107421875,1430.2530517578125
